year,games_type,host_country,host_city,competitions,sports,disabilities,country_rank,country,participants_men,participants_women,gold,silver,bronze
1960,Summer,Italy,Rome,113,8,Spinal injury,1.0,Italy,23,4,29,28,23
1960,Summer,Italy,Rome,113,8,Spinal injury,2.0,Great Britain,29,13,20,15,20
1960,Summer,Italy,Rome,113,8,Spinal injury,3.0,Germany,7,2,15,6,9
1960,Summer,Italy,Rome,113,8,Spinal injury,4.0,Austria,12,7,11,8,11
1960,Summer,Italy,Rome,113,8,Spinal injury,5.0,United States of America,23,0,11,7,7
1960,Summer,Italy,Rome,113,8,Spinal injury,6.0,Norway,7,4,9,3,4
1960,Summer,Italy,Rome,113,8,Spinal injury,7.0,Australia,10,1,3,6,1
1960,Summer,Italy,Rome,113,8,Spinal injury,8.0,Netherlands,11,2,3,6,0
1960,Summer,Italy,Rome,113,8,Spinal injury,9.0,France,10,1,3,3,1
1960,Summer,Italy,Rome,113,8,Spinal injury,10.0,Argentina,5,4,2,3,1
1960,Summer,Italy,Rome,113,8,Spinal injury,11.0,Rhodesia,0,1,2,1,2
1960,Summer,Italy,Rome,113,8,Spinal injury,12.0,Ireland,0,1,2,0,0
1960,Summer,Italy,Rome,113,8,Spinal injury,13.0,Switzerland,5,1,1,3,0
1960,Summer,Italy,Rome,113,8,Spinal injury,14.0,Belgium,10,2,1,1,1
1960,Summer,Italy,Rome,113,8,Spinal injury,15.0,Finland,1,0,1,0,0
1960,Summer,Italy,Rome,113,8,Spinal injury,16.0,Israel,6,1,0,2,2
1960,Summer,Italy,Rome,113,8,Spinal injury,16.0,Malta,5,1,0,2,2
1964,Summer,Japan,Tokyo,143,9,Spinal injury,1.0,United States of America,45,20,50,41,32
1964,Summer,Japan,Tokyo,143,9,Spinal injury,2.0,Great Britain,30,14,18,23,20
1964,Summer,Japan,Tokyo,143,9,Spinal injury,3.0,Italy,14,5,14,15,16
1964,Summer,Japan,Tokyo,143,9,Spinal injury,4.0,Australia,13,4,12,11,7
1964,Summer,Japan,Tokyo,143,9,Spinal injury,5.0,Rhodesia,4,2,10,5,2
1964,Summer,Japan,Tokyo,143,9,Spinal injury,6.0,South Africa,5,4,8,8,3
1964,Summer,Japan,Tokyo,143,9,Spinal injury,7.0,Israel,16,3,7,3,11
1964,Summer,Japan,Tokyo,143,9,Spinal injury,8.0,Argentina,19,6,6,15,16
1964,Summer,Japan,Tokyo,143,9,Spinal injury,9.0,Germany,8,1,5,2,5
1964,Summer,Japan,Tokyo,143,9,Spinal injury,10.0,Netherlands,4,3,4,6,4
1964,Summer,Japan,Tokyo,143,9,Spinal injury,11.0,France,13,0,4,2,5
1964,Summer,Japan,Tokyo,143,9,Spinal injury,12.0,Austria,3,4,4,1,7
1964,Summer,Japan,Tokyo,143,9,Spinal injury,13.0,Japan,14,2,1,5,4
1964,Summer,Japan,Tokyo,143,9,Spinal injury,14.0,Belgium,1,1,1,0,2
1964,Summer,Japan,Tokyo,143,9,Spinal injury,15.0,Switzerland,0,1,0,1,0
1964,Summer,Japan,Tokyo,143,9,Spinal injury,16.0,Malta,2,0,0,0,2
1964,Summer,Japan,Tokyo,143,9,Spinal injury,17.0,Sweden,1,0,0,0,1
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,1.0,United States of America,53,29,33,27,39
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,2.0,Great Britain,50,24,29,20,20
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,3.0,Israel,38,16,18,21,23
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,4.0,Australia,23,12,15,16,7
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,5.0,France,40,14,13,10,9
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,6.0,West Germany,50,8,12,12,11
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,7.0,Italy,33,5,12,10,17
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,8.0,Netherlands,24,11,12,4,4
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,9.0,Argentina,14,7,10,10,10
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,10.0,South Africa,5,3,9,10,7
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,11.0,Rhodesia,7,7,6,7,7
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,12.0,Canada,18,7,6,6,7
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,13.0,Norway,18,9,5,3,1
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,14.0,Jamaica,7,4,3,1,1
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,15.0,Austria,19,12,2,7,10
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,16.0,Japan,40,7,2,2,8
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,17.0,Sweden,27,5,1,6,4
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,18.0,New Zealand,17,1,1,2,1
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,19.0,Ireland,5,2,0,4,5
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,20.0,Belgium,21,5,0,3,3
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,21.0,Spain,9,2,0,3,1
1968,Summer,Israel,Tel Aviv,188,10,Spinal injury,22.0,Switzerland,32,2,0,2,6
1972,Summer,Germany,Heidelberg,188,10,Spinal injury,1.0,West Germany,51,23,28,17,22
1972,Summer,Germany,Heidelberg,188,10,Spinal injury,2.0,United States of America,49,17,17,27,31
1972,Summer,Germany,Heidelberg,188,10,Spinal injury,3.0,Great Britain,48,25,16,15,21
1972,Summer,Germany,Heidelberg,188,10,Spinal injury,4.0,South Africa,12,13,16,12,13
1972,Summer,Germany,Heidelberg,188,10,Spinal injury,5.0,Netherlands,26,12,14,13,11
